versionOrder,versionPageStart,versionPageEnd,date,pageCount,title,documentType,sourceClass,lane,matches,sourceUrl,pdfUrl,sourceNote
63,324,329,1995-10-03,6,Memcon: President Clinton's Meeting with President Iliescu,Cable transmitting memcon,clinton-library-mdr,candidate-state cases,nato-expansion,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 86-91. Nodis."
64,330,332,1995-11-28,3,Germans Causing Problems on NATO Enlargement,NSC information memorandum,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 205-207. Confidential."
65,333,337,1995-12-08,5,Change in Style not Substance in Poland's Campaign for NATO Membership,Cable,clinton-library-mdr,candidate-state cases,membership-accession,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 92-96."
66,338,341,1996-04-17,4,Your Meetings with President Yeltsin,Cable,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 115-118. Secret; Nodis."
67,342,344,1996-05-04,3,Responding to President Chirac's Call for an Agreement with Russia Prior to NATO Enlargement,Cable,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 97-99. Nodis."
68,345,349,1996-05-11,5,Polish FonMin Rosati and Acting Secretary Talbott Discuss NATO Enlargement and Regional Relations,Cable,clinton-library-mdr,candidate-state cases,nato-expansion; candidate-membership,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 119-123. Confidential."
69,350,352,1996-06-03,3,"Latvian President Discusses NATO Enlargement, Urges President Clinton to Meet Baltic Leaders in June",Cable,clinton-library-mdr,candidate-state cases,nato-expansion,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 113-115. Confidential."
70,353,358,1996-06-03,6,Memorandum of Conversation with Former President of Poland Lech Walesa,Memorandum of conversation,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 124-129. Confidential; Nodis."
71,359,371,1996-06-06,13,C-P-L Item: NATO Enlargement,NSC email with attached policy paper,clinton-library-mdr,how/process,nato-expansion,https://clinton.presidentiallibraries.us/items/show/57565,https://clinton.presidentiallibraries.us/files/original/ae02d8219b6f90d0e5fc7a41f099bdce.pdf,"Source: Clinton Presidential Records, NSC Emails, MsMail-Record (Sept 94-Sept 97), [NATO Enlargement and Lake], Mandatory Declassification Review 2015-0770-M, Clinton Digital Library, PDF pages 2-14. Secret."
72,372,377,1996-06-17,6,Slovakia: Kramer Tells Kuchar No Benefit of Doubt for Slovakia on NATO Enlargement,Cable,clinton-library-mdr,candidate-state cases,nato-expansion,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 100-105."
